Product Id,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product HS Code,Product Origin Country,Product MID Code,Product Material,Shipping Profile Id,Product Sales Channel 1,Product Collection Id,Product Type Id,Product Tag 1,Product Discountable,Product External Id,Variant Id,Variant Title,Variant SKU,Variant Barcode,Variant Allow Backorder,Variant Manage Inventory,Variant Weight,Variant Length,Variant Width,Variant Height,Variant HS Code,Variant Origin Country,Variant MID Code,Variant Material,Variant Price EUR,Variant Price USD,Variant Price INR,Variant Price AED,Variant Option 1 Name,Variant Option 1 Value,Product Image 1 Url,Product Image 2 Url
,kids-unicorn-sweatshirt,Kids Unicorn Sweatshirt,Kids / Sweatshirts,Cozy sweatshirt with a unicorn chest graphic and brushed interior for cool evenings.,published,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Kids%20Unicorn%20Sweatshirt%20front,300,,,,,in,,Cotton Fleece,,,,,Kids,TRUE,selfkart-cloth-011,,6-7Y,KID-011-67Y,,FALSE,TRUE,300,,,,,in,,Cotton Fleece,26,30,2340,110,Size,6-7Y,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Kids%20Unicorn%20Sweatshirt%20front,https://placehold.co/1000x1250/e0f2fe/111827.png?text=Kids%20Unicorn%20Sweatshirt%20back
,kids-checked-party-shirt,Kids Checked Party Shirt,Kids / Shirts,"Button-up checked shirt with a neat collar, rounded hem, and soft handfeel.",published,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Kids%20Checked%20Party%20Shirt%20front,300,,,,,in,,Cotton Poplin,,,,,Kids,TRUE,selfkart-cloth-012,,7-8Y,KID-012-78Y,,FALSE,TRUE,300,,,,,in,,Cotton Poplin,24,29,2160,106,Size,7-8Y,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Kids%20Checked%20Party%20Shirt%20front,https://placehold.co/1000x1250/e0f2fe/111827.png?text=Kids%20Checked%20Party%20Shirt%20back
,kids-stretch-leggings,Kids Stretch Leggings,Kids / Bottoms,"Stretch leggings with a comfortable waistband, ideal under dresses or with tees.",published,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Kids%20Stretch%20Leggings%20front,300,,,,,in,,Cotton Elastane,,,,,Kids,TRUE,selfkart-cloth-013,,6-7Y,KID-013-67Y,,FALSE,TRUE,300,,,,,in,,Cotton Elastane,16,20,1440,73,Size,6-7Y,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Kids%20Stretch%20Leggings%20front,https://placehold.co/1000x1250/e0f2fe/111827.png?text=Kids%20Stretch%20Leggings%20back
,kids-colorblock-tracksuit,Kids Colorblock Tracksuit,Kids / Sets,Matching zip jacket and jogger set with a sporty colorblock look and soft fleece feel.,published,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Kids%20Colorblock%20Tracksuit%20front,300,,,,,in,,Cotton Polyester Fleece,,,,,Kids,TRUE,selfkart-cloth-014,,7-8Y,KID-014-78Y,,FALSE,TRUE,300,,,,,in,,Cotton Polyester Fleece,44,52,3960,191,Size,7-8Y,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Kids%20Colorblock%20Tracksuit%20front,https://placehold.co/1000x1250/e0f2fe/111827.png?text=Kids%20Colorblock%20Tracksuit%20back
,kids-sequin-party-top,Kids Sequin Party Top,Kids / Tops,Festive party top with soft lining and a subtle sequin front panel for celebrations.,published,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Kids%20Sequin%20Party%20Top%20front,300,,,,,in,,Polyester Blend,,,,,Kids,TRUE,selfkart-cloth-015,,8-9Y,KID-015-89Y,,FALSE,TRUE,300,,,,,in,,Polyester Blend,26,31,2340,114,Size,8-9Y,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Kids%20Sequin%20Party%20Top%20front,https://placehold.co/1000x1250/e0f2fe/111827.png?text=Kids%20Sequin%20Party%20Top%20back
,kids-cargo-pocket-pants,Kids Cargo Pocket Pants,Kids / Bottoms,"Relaxed cargo pants with utility pockets, elastic back waist, and durable twill fabric.",published,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Kids%20Cargo%20Pocket%20Pants%20front,300,,,,,in,,Cotton Twill,,,,,Kids,TRUE,selfkart-cloth-016,,8-9Y,KID-016-89Y,,FALSE,TRUE,300,,,,,in,,Cotton Twill,32,38,2880,139,Size,8-9Y,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Kids%20Cargo%20Pocket%20Pants%20front,https://placehold.co/1000x1250/e0f2fe/111827.png?text=Kids%20Cargo%20Pocket%20Pants%20back
,kids-sun-hat-romper,Kids Sun Hat Romper,Kids / Rompers,"Light cotton romper with snap opening, playful print, and sunny-day comfort.",published,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Kids%20Sun%20Hat%20Romper%20front,300,,,,,in,,Cotton Muslin,,,,,Kids,TRUE,selfkart-cloth-017,,2-3Y,KID-017-23Y,,FALSE,TRUE,300,,,,,in,,Cotton Muslin,28,34,2520,125,Size,2-3Y,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Kids%20Sun%20Hat%20Romper%20front,https://placehold.co/1000x1250/e0f2fe/111827.png?text=Kids%20Sun%20Hat%20Romper%20back
,men-classic-crew-t-shirt,Men Classic Crew T-Shirt,Men / T-Shirts,"Clean crew-neck T-shirt in soft cotton jersey, cut for a reliable everyday fit.",published,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Men%20Classic%20Crew%20T-Shirt%20front,500,,,,,in,,Cotton Jersey,,,,,Men,TRUE,selfkart-cloth-018,,M,MEN-018-M,,FALSE,TRUE,500,,,,,in,,Cotton Jersey,18,22,1620,81,Size,M,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Men%20Classic%20Crew%20T-Shirt%20front,https://placehold.co/1000x1250/e0f2fe/111827.png?text=Men%20Classic%20Crew%20T-Shirt%20back
,men-oxford-button-down-shirt,Men Oxford Button Down Shirt,Men / Shirts,"Crisp oxford shirt with button-down collar, curved hem, and work-to-weekend styling.",published,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Men%20Oxford%20Button%20Down%20Shirt%20front,500,,,,,in,,Cotton Oxford,,,,,Men,TRUE,selfkart-cloth-019,,M,MEN-019-M,,FALSE,TRUE,500,,,,,in,,Cotton Oxford,38,45,3420,165,Size,M,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Men%20Oxford%20Button%20Down%20Shirt%20front,https://placehold.co/1000x1250/e0f2fe/111827.png?text=Men%20Oxford%20Button%20Down%20Shirt%20back
,men-slim-chino-pants,Men Slim Chino Pants,Men / Pants,"Slim chino pants with stretch comfort, slant pockets, and a polished casual finish.",published,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Men%20Slim%20Chino%20Pants%20front,500,,,,,in,,Cotton Elastane Twill,,,,,Men,TRUE,selfkart-cloth-020,,32,MEN-020-32,,FALSE,TRUE,500,,,,,in,,Cotton Elastane Twill,48,58,4320,213,Size,32,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Men%20Slim%20Chino%20Pants%20front,https://placehold.co/1000x1250/e0f2fe/111827.png?text=Men%20Slim%20Chino%20Pants%20back
,men-lightweight-linen-shirt,Men Lightweight Linen Shirt,Men / Shirts,Breathable linen-blend shirt with relaxed drape for warm days and holidays.,published,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Men%20Lightweight%20Linen%20Shirt%20front,500,,,,,in,,Linen Cotton Blend,,,,,Men,TRUE,selfkart-cloth-021,,L,MEN-021-L,,FALSE,TRUE,500,,,,,in,,Linen Cotton Blend,42,50,3780,184,Size,L,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Men%20Lightweight%20Linen%20Shirt%20front,https://placehold.co/1000x1250/e0f2fe/111827.png?text=Men%20Lightweight%20Linen%20Shirt%20back
,men-zip-fleece-hoodie,Men Zip Fleece Hoodie,Men / Hoodies,"Full-zip fleece hoodie with drawcord hood, rib trims, and soft brushed interior.",published,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Men%20Zip%20Fleece%20Hoodie%20front,500,,,,,in,,Cotton Fleece,,,,,Men,TRUE,selfkart-cloth-022,,L,MEN-022-L,,FALSE,TRUE,500,,,,,in,,Cotton Fleece,46,55,4140,202,Size,L,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Men%20Zip%20Fleece%20Hoodie%20front,https://placehold.co/1000x1250/e0f2fe/111827.png?text=Men%20Zip%20Fleece%20Hoodie%20back
,men-athletic-joggers,Men Athletic Joggers,Men / Bottoms,"Tapered joggers with stretch waistband, zipped pocket, and easy movement.",published,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Men%20Athletic%20Joggers%20front,500,,,,,in,,Cotton Polyester Fleece,,,,,Men,TRUE,selfkart-cloth-023,,M,MEN-023-M,,FALSE,TRUE,500,,,,,in,,Cotton Polyester Fleece,40,48,3600,176,Size,M,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Men%20Athletic%20Joggers%20front,https://placehold.co/1000x1250/e0f2fe/111827.png?text=Men%20Athletic%20Joggers%20back
,men-denim-trucker-jacket,Men Denim Trucker Jacket,Men / Outerwear,Classic denim trucker jacket with chest pockets and a structured regular fit.,published,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Men%20Denim%20Trucker%20Jacket%20front,500,,,,,in,,Cotton Denim,,,,,Men,TRUE,selfkart-cloth-024,,L,MEN-024-L,,FALSE,TRUE,500,,,,,in,,Cotton Denim,72,86,6480,316,Size,L,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Men%20Denim%20Trucker%20Jacket%20front,https://placehold.co/1000x1250/e0f2fe/111827.png?text=Men%20Denim%20Trucker%20Jacket%20back
,men-performance-polo,Men Performance Polo,Men / Polos,Moisture-wicking polo with clean collar and stretch fabric for smart casual wear.,published,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Men%20Performance%20Polo%20front,500,,,,,in,,Polyester Elastane,,,,,Men,TRUE,selfkart-cloth-025,,M,MEN-025-M,,FALSE,TRUE,500,,,,,in,,Polyester Elastane,30,36,2700,132,Size,M,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Men%20Performance%20Polo%20front,https://placehold.co/1000x1250/e0f2fe/111827.png?text=Men%20Performance%20Polo%20back
,men-tailored-blazer,Men Tailored Blazer,Men / Blazers,"Single-breasted blazer with notch lapel, soft lining, and versatile tailored shape.",published,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Men%20Tailored%20Blazer%20front,500,,,,,in,,Poly Viscose Blend,,,,,Men,TRUE,selfkart-cloth-026,,40,MEN-026-40,,FALSE,TRUE,500,,,,,in,,Poly Viscose Blend,98,118,8820,433,Size,40,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Men%20Tailored%20Blazer%20front,https://placehold.co/1000x1250/e0f2fe/111827.png?text=Men%20Tailored%20Blazer%20back
,men-relaxed-cargo-shorts,Men Relaxed Cargo Shorts,Men / Shorts,Relaxed cargo shorts with utility pockets and durable cotton ripstop construction.,published,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Men%20Relaxed%20Cargo%20Shorts%20front,500,,,,,in,,Cotton Ripstop,,,,,Men,TRUE,selfkart-cloth-027,,32,MEN-027-32,,FALSE,TRUE,500,,,,,in,,Cotton Ripstop,34,40,3060,147,Size,32,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Men%20Relaxed%20Cargo%20Shorts%20front,https://placehold.co/1000x1250/e0f2fe/111827.png?text=Men%20Relaxed%20Cargo%20Shorts%20back
,men-merino-blend-sweater,Men Merino Blend Sweater,Men / Sweaters,"Fine-gauge sweater with ribbed trims, soft warmth, and a clean everyday silhouette.",published,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Men%20Merino%20Blend%20Sweater%20front,500,,,,,in,,Merino Acrylic Blend,,,,,Men,TRUE,selfkart-cloth-028,,L,MEN-028-L,,FALSE,TRUE,500,,,,,in,,Merino Acrylic Blend,58,70,5220,257,Size,L,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Men%20Merino%20Blend%20Sweater%20front,https://placehold.co/1000x1250/e0f2fe/111827.png?text=Men%20Merino%20Blend%20Sweater%20back
,men-checked-flannel-shirt,Men Checked Flannel Shirt,Men / Shirts,"Brushed flannel shirt with heritage checks, chest pocket, and comfortable layering fit.",published,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Men%20Checked%20Flannel%20Shirt%20front,500,,,,,in,,Cotton Flannel,,,,,Men,TRUE,selfkart-cloth-029,,M,MEN-029-M,,FALSE,TRUE,500,,,,,in,,Cotton Flannel,36,43,3240,158,Size,M,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Men%20Checked%20Flannel%20Shirt%20front,https://placehold.co/1000x1250/e0f2fe/111827.png?text=Men%20Checked%20Flannel%20Shirt%20back
,men-stretch-denim-jeans,Men Stretch Denim Jeans,Men / Jeans,Mid-rise stretch denim jeans with a modern straight fit and classic five-pocket styling.,published,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Men%20Stretch%20Denim%20Jeans%20front,500,,,,,in,,Cotton Elastane Denim,,,,,Men,TRUE,selfkart-cloth-030,,32,MEN-030-32,,FALSE,TRUE,500,,,,,in,,Cotton Elastane Denim,54,64,4860,235,Size,32,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Men%20Stretch%20Denim%20Jeans%20front,https://placehold.co/1000x1250/e0f2fe/111827.png?text=Men%20Stretch%20Denim%20Jeans%20back
,men-training-shorts,Men Training Shorts,Men / Activewear,"Light training shorts with quick-dry fabric, inner drawcord, and side pockets.",published,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Men%20Training%20Shorts%20front,500,,,,,in,,Recycled Polyester,,,,,Men,TRUE,selfkart-cloth-031,,M,MEN-031-M,,FALSE,TRUE,500,,,,,in,,Recycled Polyester,26,31,2340,114,Size,M,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Men%20Training%20Shorts%20front,https://placehold.co/1000x1250/e0f2fe/111827.png?text=Men%20Training%20Shorts%20back
,men-puffer-vest,Men Puffer Vest,Men / Outerwear,Quilted sleeveless puffer vest with lightweight insulation and zip pockets.,published,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Men%20Puffer%20Vest%20front,500,,,,,in,,Recycled Nylon,,,,,Men,TRUE,selfkart-cloth-032,,L,MEN-032-L,,FALSE,TRUE,500,,,,,in,,Recycled Nylon,62,74,5580,272,Size,L,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Men%20Puffer%20Vest%20front,https://placehold.co/1000x1250/e0f2fe/111827.png?text=Men%20Puffer%20Vest%20back
,men-henley-long-sleeve,Men Henley Long Sleeve,Men / Tops,Soft long-sleeve henley with three-button placket and an easy layered fit.,published,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Men%20Henley%20Long%20Sleeve%20front,500,,,,,in,,Cotton Waffle Knit,,,,,Men,TRUE,selfkart-cloth-033,,M,MEN-033-M,,FALSE,TRUE,500,,,,,in,,Cotton Waffle Knit,28,34,2520,125,Size,M,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Men%20Henley%20Long%20Sleeve%20front,https://placehold.co/1000x1250/e0f2fe/111827.png?text=Men%20Henley%20Long%20Sleeve%20back
,men-formal-trousers,Men Formal Trousers,Men / Trousers,"Flat-front formal trousers with clean crease, belt loops, and refined office-ready finish.",published,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Men%20Formal%20Trousers%20front,500,,,,,in,,Poly Viscose Blend,,,,,Men,TRUE,selfkart-cloth-034,,34,MEN-034-34,,FALSE,TRUE,500,,,,,in,,Poly Viscose Blend,52,62,4680,228,Size,34,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Men%20Formal%20Trousers%20front,https://placehold.co/1000x1250/e0f2fe/111827.png?text=Men%20Formal%20Trousers%20back
,women-essential-rib-tank,Women Essential Rib Tank,Women / Tops,"Ribbed tank top with a close comfortable fit, scoop neckline, and everyday layering style.",published,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Women%20Essential%20Rib%20Tank%20front,500,,,,,in,,Cotton Elastane Rib,,,,,Women,TRUE,selfkart-cloth-035,,M,WOM-035-M,,FALSE,TRUE,500,,,,,in,,Cotton Elastane Rib,16,20,1440,73,Size,M,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Women%20Essential%20Rib%20Tank%20front,https://placehold.co/1000x1250/e0f2fe/111827.png?text=Women%20Essential%20Rib%20Tank%20back
,women-floral-midi-dress,Women Floral Midi Dress,Women / Dresses,Flowing floral midi dress with soft waist shaping and an easy day-to-evening silhouette.,published,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Women%20Floral%20Midi%20Dress%20front,500,,,,,in,,Viscose Crepe,,,,,Women,TRUE,selfkart-cloth-036,,M,WOM-036-M,,FALSE,TRUE,500,,,,,in,,Viscose Crepe,64,78,5760,286,Size,M,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Women%20Floral%20Midi%20Dress%20front,https://placehold.co/1000x1250/e0f2fe/111827.png?text=Women%20Floral%20Midi%20Dress%20back
,women-high-rise-skinny-jeans,Women High Rise Skinny Jeans,Women / Jeans,"High-rise skinny jeans with stretch recovery, ankle length, and classic five-pocket styling.",published,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Women%20High%20Rise%20Skinny%20Jeans%20front,500,,,,,in,,Cotton Elastane Denim,,,,,Women,TRUE,selfkart-cloth-037,,28,WOM-037-28,,FALSE,TRUE,500,,,,,in,,Cotton Elastane Denim,58,70,5220,257,Size,28,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Women%20High%20Rise%20Skinny%20Jeans%20front,https://placehold.co/1000x1250/e0f2fe/111827.png?text=Women%20High%20Rise%20Skinny%20Jeans%20back
,women-relaxed-linen-blazer,Women Relaxed Linen Blazer,Women / Blazers,Unstructured linen-blend blazer with soft lapels and breathable warm-weather polish.,published,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Women%20Relaxed%20Linen%20Blazer%20front,500,,,,,in,,Linen Viscose Blend,,,,,Women,TRUE,selfkart-cloth-038,,M,WOM-038-M,,FALSE,TRUE,500,,,,,in,,Linen Viscose Blend,82,98,7380,360,Size,M,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Women%20Relaxed%20Linen%20Blazer%20front,https://placehold.co/1000x1250/e0f2fe/111827.png?text=Women%20Relaxed%20Linen%20Blazer%20back
,women-satin-wrap-blouse,Women Satin Wrap Blouse,Women / Blouses,"Satin wrap blouse with draped neckline, cuffed sleeves, and a polished evening finish.",published,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Women%20Satin%20Wrap%20Blouse%20front,500,,,,,in,,Recycled Polyester Satin,,,,,Women,TRUE,selfkart-cloth-039,,M,WOM-039-M,,FALSE,TRUE,500,,,,,in,,Recycled Polyester Satin,42,50,3780,184,Size,M,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Women%20Satin%20Wrap%20Blouse%20front,https://placehold.co/1000x1250/e0f2fe/111827.png?text=Women%20Satin%20Wrap%20Blouse%20back
,women-wide-leg-trousers,Women Wide Leg Trousers,Women / Trousers,High-waist wide-leg trousers with fluid drape and front pleat detail.,published,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Women%20Wide%20Leg%20Trousers%20front,500,,,,,in,,Poly Viscose Blend,,,,,Women,TRUE,selfkart-cloth-040,,M,WOM-040-M,,FALSE,TRUE,500,,,,,in,,Poly Viscose Blend,54,65,4860,239,Size,M,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Women%20Wide%20Leg%20Trousers%20front,https://placehold.co/1000x1250/e0f2fe/111827.png?text=Women%20Wide%20Leg%20Trousers%20back
,women-cropped-cardigan,Women Cropped Cardigan,Women / Knitwear,Soft cropped cardigan with button front and rib trims for easy layering.,published,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Women%20Cropped%20Cardigan%20front,500,,,,,in,,Cotton Acrylic Knit,,,,,Women,TRUE,selfkart-cloth-041,,M,WOM-041-M,,FALSE,TRUE,500,,,,,in,,Cotton Acrylic Knit,38,46,3420,169,Size,M,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Women%20Cropped%20Cardigan%20front,https://placehold.co/1000x1250/e0f2fe/111827.png?text=Women%20Cropped%20Cardigan%20back
